frame,x,y,visible
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,972,411,1
56,972,411,1
57,999,422,0
58,1017,430,0
59,1008,420,1
60,1008,420,1
61,1022,424,0
62,1031,426,0
63,1040,429,0
64,1049,431,0
65,1057,433,0
66,1066,436,0
67,1075,438,0
68,1084,441,0
69,1093,443,0
70,1102,445,0
71,1111,448,0
72,1120,450,0
73,1129,452,0
74,1138,455,0
75,1147,457,0
76,1156,460,0
77,1165,462,0
78,1174,464,0
79,1183,467,0
80,1191,469,0
81,1200,472,0
82,1209,474,0
83,1218,476,0
84,1227,479,0
85,1236,481,0
86,1245,484,0
87,1254,486,0
88,1263,488,0
89,1272,491,0
90,1281,493,0
91,1290,496,0
92,1299,498,0
93,1308,500,0
94,1316,503,0
95,1325,505,0
96,1334,507,0
97,1343,510,0
98,1352,512,0
99,1361,515,0
100,1370,517,0
101,1379,519,0
102,1388,522,0
103,1397,524,0
104,1406,527,0
105,1415,529,0
106,1424,531,0
107,1433,534,0
108,1441,536,0
109,1450,539,0
110,1459,541,0
111,1468,543,0
112,1477,546,0
113,1486,548,0
114,1495,551,0
115,1504,553,0
116,1513,555,0
117,1522,558,0
118,1531,560,0
119,1540,562,0
120,1549,565,0
121,1558,567,0
122,1567,570,0
123,1575,572,0
124,1584,574,0
125,1593,577,0
126,1602,579,0
127,1611,582,0
128,1620,584,0
129,1629,586,0
130,1638,589,0
131,1647,591,0
132,1656,594,0
133,1665,596,0
134,1674,598,0
135,1683,601,0
136,1692,603,0
137,1700,606,0
138,1709,608,0
139,1718,610,0
140,1727,613,0
141,1736,615,0
142,1745,617,0
143,1754,620,0
144,1763,622,0
145,1772,625,0
146,1781,627,0
147,1790,629,0
148,1799,632,0
149,1808,634,0
150,1817,637,0
151,1825,639,0
152,1834,641,0
153,1843,644,0
154,1852,646,0
155,1861,649,0
156,1870,651,0
157,1879,653,0
158,1888,656,0
159,1897,658,0
160,1906,661,0
161,1915,663,0
162,1924,665,0
163,1933,668,0
164,1942,670,0
165,1951,672,0
166,1959,675,0
167,1968,677,0
168,1977,680,0
169,1986,682,0
170,1995,684,0
171,2004,687,0
172,2013,689,0
173,2022,692,0
174,2031,694,0
175,2040,696,0
176,2049,699,0
